ticker,name,sicsector,sicindustry,famaindustry,sector,industry,location
A,Agilent Technologies Inc,Manufacturing,Laboratory Analytical Instruments,Measuring and Control Equipment,Healthcare,Diagnostics & Research,California U.S.A
AA,Alcoa Corp,Manufacturing,Rolling Drawing & Extruding Of Nonferrous Metals,Steel Works Etc,Basic Materials,Aluminum,New York U.S.A
AAAB,Admiralty Bancorp Inc,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,Florida U.S.A
AAAGY,Altana Aktiengesellschaft,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Jordan
AAAP,Advanced Accelerator Applications SA,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,France
AABC,Access Anytime Bancorp Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,New Mexico U.S.A
AAC,AAC Holdings Inc,Services,Services-Specialty Outpatient Facilities Nec,Healthcare,Healthcare,Medical Care,Tennessee U.S.A
AAC1,Arcadia Financial Ltd,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,Banking,Financial Services,Asset Management,Minnesota U.S.A
AACB,Alliance Atlantis Communications Inc,Services,Services-Motion Picture & Video Tape Production,Entertainment,Consumer Cyclical,Media - Diversified,Ontario Canada
AACC,Asset Acceptance Capital Corp,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,Banking,Financial Services,Asset Management,Michigan U.S.A
AACE,Ace Cash Express Inc,Finance Insurance And Real Estate,Functions Related To Depository Banking Nec,Banking,Industrials,Business Services,Texas U.S.A
AACPF,Australia Acquisition Corp,Finance Insurance And Real Estate,Blank Checks,Trading,Industrials,Conglomerates,Australia
AAI,Airtran Holdings Inc,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,Industrials,Airlines,Florida U.S.A
AAI1,Aqua Alliance Inc,Services,Services-Engineering Services,Business Services,Industrials,Engineering & Construction,Massachusetts U.S.A
AAII,Aaipharma Inc,Services,Services-Testing Laboratories,Business Services,Healthcare,Diagnostics & Research,North Carolina U.S.A
AAIIQ,Alabama Aircraft Industries Inc,Manufacturing,Aircraft,Aircraft,Industrials,Aerospace & Defense,Alabama U.S.A
AAIR,Avantair Inc,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,Transportation,Industrials,Airports & Air Services,Florida U.S.A
AAL,American Airlines Group Inc,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,Industrials,Airlines,Texas U.S.A
AAMC,Altisource Asset Management Corp,Finance Insurance And Real Estate,Real Estate,Real Estate,Financial Services,Asset Management,Virgin Islands U.S.
AAME,Atlantic American Corp,Finance Insurance And Real Estate,Life Insurance,Insurance,Financial Services,Insurance - Life,Georgia U.S.A
AAN,Aaron'S Inc,Services,Services-Equipment Rental & Leasing Nec,Business Services,Industrials,Rental & Leasing Services,Georgia U.S.A
AANB,Abigail Adams National Bancorp Inc,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,District Of Columbia U.S.A
AAOI,Applied Optoelectronics Inc,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Technology,Semiconductors,Texas U.S.A
AAON,Aaon Inc,Manufacturing,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,Machinery,Basic Materials,Building Materials,Oklahoma U.S.A
AAP,Advance Auto Parts Inc,Retail Trade,Retail-Auto & Home Supply Stores,Retail,Consumer Cyclical,Specialty Retail,Virginia U.S.A
AAPC,Atlantic Alliance Partnership Corp,Services,Services-Miscellaneous Amusement & Recreation,Entertainment,Consumer Cyclical,Leisure,New York U.S.A
AAPL,Apple Inc,Manufacturing,Electronic Computers,Computers,Technology,Consumer Electronics,California U.S.A
AAT,American Assets Trust Inc,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Retail,California U.S.A
AATI,Advanced Analogic Technologies Inc,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,Technology,Semiconductors,California U.S.A
AATI1,Analysis & Technology Inc,Services,Services-Engineering Services,Business Services,Industrials,Engineering & Construction,Connecticut U.S.A
AATT,Aavid Thermal Technologies Inc,Manufacturing,Electronic Components Nec,Electronic Equipment,Technology,Electronic Components,New Hampshire U.S.A
AAU,Almaden Minerals Ltd,Mining,Metal Mining,Non-Metallic and Industrial Metal Mining,Basic Materials,Gold,British Columbia Canada
AAV,Advantage Oil & Gas Ltd,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,Energy,Oil & Gas E&P,Alberta Canada
AAV1,Avatex Corp,Finance Insurance And Real Estate,Real Estate,Real Estate,Real Estate,Real Estate Services,Texas U.S.A
AAWHQ,Atlas Air Worldwide Holdings Inc,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,Transportation,Industrials,Airports & Air Services,New York U.S.A
AAWW,Atlas Air Worldwide Holdings Inc,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,Transportation,Industrials,Airports & Air Services,New York U.S.A
AAXN,Axon Enterprise Inc,Manufacturing,Ordnance & Accessories (No Vehicles/Guided Missiles),Defense,Industrials,Aerospace & Defense,Arizona U.S.A
AB,Alliancebernstein Holding Lp,Finance Insurance And Real Estate,Investment Advice,Trading,Financial Services,Asset Management,New York U.S.A
ABACF,Abacan Resource Corp,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,Energy,Oil & Gas E&P,Alberta Canada
ABAN,American Bancshares Inc,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,Florida U.S.A
ABAT,Advanced Battery Technologies Inc,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,Electrical Equipment,Technology,Electronic Components,New York U.S.A
ABAX,Abaxis Inc,Manufacturing,Measuring & Controlling Devices Nec,Measuring and Control Equipment,Healthcare,Diagnostics & Research,California U.S.A
ABB,Abb Ltd,Manufacturing,Switchgear & Switchboard Apparatus,Electrical Equipment,Industrials,Diversified Industrials,Switzerland
ABBC,Abington Bancorp Inc,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,Banking,Financial Services,Savings & Cooperative Banks,Pennsylvania U.S.A
ABBK,Abington Bancorp Inc,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,Banking,Financial Services,Savings & Cooperative Banks,Massachusetts U.S.A
ABBV,AbbVie Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Drug Manufacturers - Major,Illinois U.S.A
ABC,Amerisourcebergen Corp,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,Wholesale,Healthcare,Medical Distribution,Pennsylvania U.S.A
ABCB,Ameris Bancorp,Finance Insurance And Real Estate,State Commercial Banks,Banking,Financial Services,Banks - Regional - US,Georgia U.S.A
ABCC,Abc Dispensing Technologies Inc,Manufacturing,Special Industry Machinery Nec,Machinery,Technology,Semiconductor Equipment & Materials,Ohio U.S.A
ABCD,Cambium Learning Group Inc,Manufacturing,Miscellaneous Publishing,Printing and Publishing,Consumer Defensive,Education & Training Services,Texas U.S.A
ABCL,Alliance Bancorp,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,Illinois U.S.A
ABCO,Advisory Board Co,Services,Services-Management Services,Business Services,Technology,Health Information Services,District Of Columbia U.S.A
ABCO1,American Buildings Co,Manufacturing,Prefabricated Metal Buildings & Components,Construction Materials,Industrials,Metal Fabrication,Alabama U.S.A
ABCP,Ambase Corp,Finance Insurance And Real Estate,Operators Of Nonresidential Buildings,Real Estate,Real Estate,REIT - Diversified,Connecticut U.S.A
ABCR1,Abc Naco Inc,Manufacturing,Metal Forgings & Stampings,Fabricated Products,Industrials,Diversified Industrials,Illinois U.S.A
ABCW,Anchor Bancorp Wisconsin Inc,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,Banking,Financial Services,Savings & Cooperative Banks,Wisconsin U.S.A
ABD,Autobond Acceptance Corp,Finance Insurance And Real Estate,Personal Credit Institutions,Banking,Financial Services,Credit Services,Texas U.S.A
ABDC,Alcentra Capital Corp,Finance Insurance And Real Estate,Investors Nec,Trading,Financial Services,Asset Management,New York U.S.A
ABDR1,Abacus Direct Corp,Services,Services-Direct Mail Advertising Services,Business Services,Consumer Cyclical,Marketing Services,Colorado U.S.A
ABDS,Allegro Biodiesel Corp,Manufacturing,Industrial Organic Chemicals,Chemicals,Basic Materials,Specialty Chemicals,California U.S.A
ABEO,Abeona Therapeutics Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Texas U.S.A
ABEV,Ambev Sa,Manufacturing,Beverages,Beer & Liquor,Consumer Defensive,Beverages - Brewers,Brazil
ABF,Airborne Inc,Transportation Communications Electric Gas And Sanitary Service,Air Courier Services,Transportation,Industrials,Integrated Shipping & Logistics,Washington U.S.A
ABFIQ,American Business Financial Services Inc,Finance Insurance And Real Estate,Mortgage Bankers & Loan Correspondents,Banking,Financial Services,Specialty Finance,Pennsylvania U.S.A
ABG,Asbury Automotive Group Inc,Retail Trade,Retail-Auto Dealers & Gasoline Stations,Retail,Consumer Cyclical,Auto & Truck Dealerships,Georgia U.S.A
ABGBY,Abengoa Sa,Services,Services-Engineering Services,Business Services,Industrials,Engineering & Construction,Spain
ABGX,Abgenix Inc,Manufacturing,Biological Products (No Disgnostic Substances),Pharmaceutical Products,Healthcare,Biotechnology,California U.S.A
ABHD,Abtech Holdings Inc,Mining,Miscellaneous Metal Ores,Non-Metallic and Industrial Metal Mining,Basic Materials,Industrial Metals & Minerals,Arizona U.S.A
ABHH,American Bank Note Holographics Inc,Services,Services-Business Services Nec,Business Services,Industrials,Business Services,New York U.S.A
ABI,American Bankers Insurance Group Inc,Finance Insurance And Real Estate,Life Insurance,Insurance,Financial Services,Insurance - Life,Florida U.S.A
ABI1,Applied Biosystems Inc,Manufacturing,Laboratory Analytical Instruments,Measuring and Control Equipment,Healthcare,Diagnostics & Research,Connecticut U.S.A
ABII,Abraxis BioScience Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,California U.S.A
ABIL,Ability Inc,Manufacturing,Communications Equipment Nec,Electronic Equipment,Technology,Communication Equipment,Israel
ABIO,ARCA biopharma Inc,Manufacturing,In Vitro & In Vivo Diagnostic Substances,Pharmaceutical Products,Healthcare,Biotechnology,Colorado U.S.A
ABIO1,Applied Biometrics Inc,Manufacturing,Electromedical & Electrotherapeutic Apparatus,Medical Equipment,Healthcare,Medical Devices,Minnesota U.S.A
ABIX,Abatix Corp,Wholesale Trade,Wholesale-Industrial Machinery & Equipment,Wholesale,Industrials,Industrial Distribution,Texas U.S.A
ABIZA,Adelphia Business Solutions Inc,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),Communication,Communication Services,Telecom Services,Pennsylvania U.S.A
ABK,Ambac Financial Group Inc,Finance Insurance And Real Estate,Surety Insurance,Insurance,Financial Services,Insurance - Specialty,New York U.S.A
ABLX,Ablynx NV,Manufacturing,Biological Products (No Disgnostic Substances),Pharmaceutical Products,Healthcare,Biotechnology,Belgium
ABM,Abm Industries Inc,Services,Services-To Dwellings & Other Buildings,Business Services,Industrials,Business Services,New York U.S.A
ABMC,American Bio Medica Corp,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,New York U.S.A
ABMD,Abiomed Inc,Manufacturing,Surgical & Medical Instruments & Apparatus,Medical Equipment,Healthcare,Medical Devices,Massachusetts U.S.A
ABMT,Advanced Biomedical Technologies Inc,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,Medical Equipment,Healthcare,Medical Devices,New York U.S.A
ABNJ,American Bancorp Of New Jersey Inc,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,Financial Services,Banks - Regional - US,New Jersey U.S.A
ABNK1,Amegy Bancorporation Inc,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Regional - US,Texas U.S.A
ABNKQ,American Banknote Corp,Manufacturing,Commercial Printing,Business Services,Industrials,Business Services,New York U.S.A
ABOV,Abovenet Communications Inc,Services,Services-Computer Integrated Systems Design,Computers,Technology,Software - Application,California U.S.A
ABP1,American Business Products Inc,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),Business Supplies,Industrials,Business Equipment,Georgia U.S.A
ABPI,Accentia Biopharmaceuticals Inc,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,Florida U.S.A
ABR,Arbor Realty Trust Inc,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Diversified,New York U.S.A
ABR1,Atlantic Premium Brands Ltd,Wholesale Trade,Wholesale-Groceries & Related Products,Wholesale,Consumer Defensive,Food Distribution,Illinois U.S.A
ABRX,Able Laboratories Inc,Manufacturing,In Vitro & In Vivo Diagnostic Substances,Pharmaceutical Products,Healthcare,Diagnostics & Research,New Jersey U.S.A
ABRX1,Abr Information Services Inc,Services,Services-Computer Processing & Data Preparation,Business Services,Technology,Internet Content & Information,Florida U.S.A
ABS,Albertsons Inc,Retail Trade,Retail-Grocery Stores,Retail,Consumer Defensive,Grocery Stores,Idaho U.S.A
ABSC,Aurora Biosciences Corp,Services,Services-Commercial Physical & Biological Research,Business Services,Healthcare,Biotechnology,California U.S.A
ABT,Abbott Laboratories,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Medical Devices,Illinois U.S.A
ABTC,Abt Building Products Corp,Manufacturing,Lumber & Wood Products (No Furniture),Construction Materials,Basic Materials,Building Materials,Wisconsin U.S.A
ABTE,Able Telcom Holding Corp,Construction,Electrical Work,Construction,Industrials,Engineering & Construction,Georgia U.S.A
